1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount
24.49,27.2,23.78,26.665,20.9329,1281432800.0,0.0
23.67,25.53,23.54,24.49,19.2255,1273139500.0,0.0
25.99,26.38,23.32,23.465,18.4208,1279372100.0,0.13
23.09,26.41,22.73,25.81,20.1557,1408590600.0,0.0
25.53,26.93,22.95,23.01,17.9691,1671811600.0,0.0
30.67,31.0606,24.56,25.8,20.1479,1720130200.0,0.13
29.35,31.58,28.62,30.535,23.7377,1319029500.0,0.0
28.77,30.57,28.24,29.2875,22.7679,1110237200.0,0.0
28.39,29.03,27.57,28.67,22.2878,1074643300.0,0.13
30.62,31.24,27.66,28.18,21.8069,1359650900.0,0.0
29.52,31.5,29.25,30.48,23.5867,920605500.0,0.0
27.7,30.14,27.41,29.41,22.7587,1018256700.0,0.13
25.405,29.35,24.43,27.73,21.3661,1523430100.0,0.0
24.35,26.25,23.76,25.72,19.8174,1038979700.0,0.0
23.82,25.49,23.03,24.65,18.9929,993250400.0,0.13
24.05,25.72,22.0,23.52,18.0229,1517459800.0,0.0
21.0,24.34,20.86,23.77,18.2145,1411144700.0,0.0
20.19,20.94,19.01,20.89,16.0076,1101122400.0,0.13
18.23,21.2,18.18,20.26,15.4261,1562400700.0,0.0
16.035,18.88,14.87,18.37,13.987,1625752800.0,0.0
17.01,19.93,16.1,16.15,12.2967,1456213400.0,0.13
19.5328,21.0,16.75,17.1,12.9271,1564043400.0,0.0
19.875,21.25,18.47,19.44,14.6961,1546943400.0,0.0
22.48,23.66,17.5,20.22,15.2858,1794911800.0,0.13
26.38,27.47,20.65,22.33,16.7698,3044579400.0,0.0
27.665,27.76,23.5,26.69,20.0441,1927538700.0,0.0
25.95,28.5,25.07,27.29,20.4947,1206949700.0,0.11
27.22,27.91,24.87,25.72,19.2382,1579425446.0,0.0
28.24,29.57,27.11,27.51,20.5771,1560439100.0,0.0
28.48,30.53,27.95,28.32,21.183,1405170200.0,0.11
28.83,32.1,27.93,28.52,21.254,1444720000.0,0.0
27.24,29.59,26.87,28.38,21.1497,1452390200.0,0.0
31.06,33.25,27.02,27.1999,20.2703,2324580800.0,0.11
35.79,35.96,31.04,32.6,24.2001,1950301600.0,0.0
33.5,36.72,32.63,35.6,26.4271,1064817100.0,0.0
36.53,37.5,32.68,33.6,24.9424,1830846800.0,0.11
29.46,37.0,29.29,36.81,27.2384,1772076700.0,0.0
28.5,29.85,28.27,29.46,21.7996,1117419500.0,0.0
28.97,30.1,27.51,28.73,21.2594,1228579500.0,0.1
29.67,31.84,28.95,28.99,21.3762,1295548000.0,0.0
30.79,30.9,29.04,29.47,21.7301,1181412800.0,0.0
29.94,31.16,29.9,30.6901,22.6298,1327154700.0,0.1
27.89,30.74,27.56,29.94,22.0055,958964900.0,0.0
27.82,28.55,26.6,27.87,20.484,1269506500.0,0.0
30.84,30.94,27.79,28.17,20.7045,1290850900.0,0.1
29.91,31.48,29.4,30.86,22.6037,1324518200.0,0.0
29.23,30.26,28.8,29.86,21.8713,1137160900.0,0.0
28.78,30.0001,28.58,29.36,21.505,1239142000.0,0.1
27.32,28.8501,27.15,28.71,20.9572,1290967400.0,0.0
25.89,27.52,25.39,27.35,19.9645,1097482600.0,0.0
24.02,26.2501,23.85,25.7,18.76,1134188400.0,0.09
23.53,24.6,22.23,24.06,17.4989,1332298100.0,0.0
22.74,23.65,21.4599,23.3,16.9462,1971637200.0,0.0
24.33,25.0,22.45,22.65,16.4734,2309193400.0,0.09
27.67,27.941,24.0,24.15,17.4964,1446126900.0,0.0
26.99,28.22,26.62,27.21,19.7133,1437940900.0,0.0
27.95,28.07,26.34,26.87,19.467,1047699000.0,0.09
26.25,28.38,26.1,28.15,20.3263,1388622700.0,0.0
27.73,28.101,26.1,26.15,18.8821,1271695500.0,0.0
25.61,28.25,25.61,27.68,19.9869,1444948300.0,0.08
25.71,25.8,24.25,25.7,18.5034,1439659900.0,0.0
27.38,27.39,25.12,25.73,18.525,1348861500.0,0.0
25.82,27.94,25.76,27.38,19.7129,1441979300.0,0.08
24.85,26.48,24.5,25.61,18.3844,1321407700.0,0.0
25.73,26.0,24.82,24.84,17.8316,1303029500.0,0.0
25.23,26.09,24.31,25.8,18.5208,1270563700.0,0.08
24.24,25.45,23.94,25.3,18.105,1520253700.0,0.0
25.2,25.79,23.82,24.17,17.2964,1541411300.0,0.0
26.25,26.5,25.1296,25.16,18.0048,1361126000.0,0.08
26.8,27.1,25.64,26.28,18.7485,1521414300.0,0.0
26.95,27.44,26.679,26.72,19.0624,1803777700.0,0.0
28.15,30.2,24.86,26.81,19.1266,1739407300.0,3.08
27.81,28.89,27.42,27.97,17.9371,1300591200.0,0.0
27.24,27.79,26.74,27.65,17.7319,1141012300.0,0.0
28.27,28.55,25.95,27.3,17.5074,1094195300.0,0.08
28.69,29.89,27.25,28.49,18.2171,1550446900.0,0.0
26.12,28.8,25.86,28.56,18.2618,1534889700.0,0.0
26.21,26.6,25.42,26.23,16.772,1141456900.0,0.0
24.95,27.72,24.85,26.13,16.708,1558947800.0,0.0
26.65,26.72,24.01,24.93,15.9407,1703041000.0,0.0
27.63,27.8,26.35,26.53,16.9638,1032065600.0,0.0
27.58,28.83,27.26,27.65,17.68,1232189000.0,0.0
25.9,27.55,25.5,27.37,17.5009,1476461300.0,0.0
26.35,26.75,24.84,25.71,16.4395,1442336700.0,0.0
28.03,29.46,25.91,26.14,16.7144,1400032500.0,0.16
26.7,30.0,26.47,27.8,17.6786,1253309100.0,0.0
26.33,26.95,25.43,26.52,16.8646,966506900.0,0.0
25.59,27.81,25.39,26.41,16.7946,1292011000.0,0.0
24.98,26.51,23.6,25.64,16.305,1569995800.0,0.0
25.54,26.5,23.89,24.61,15.65,1311003700.0,0.0
24.46,26.43,23.95,25.57,16.2605,1249617700.0,0.0
24.02,26.8,22.55,24.21,15.3956,1371902600.0,0.0
47.93,49.1,23.3,23.7,15.0713,910628150.0,0.08
52.3,57.32,47.03,47.46,15.0413,859331100.0,0.0
58.65,58.96,51.26,51.7,16.3851,634185100.0,0.0
52.43,58.64,51.9,57.68,18.2803,777998600.0,0.0
44.32,54.07,43.19,53.47,16.9461,1237685300.0,0.0
48.52,51.1,43.11,43.74,13.8624,847852900.0,0.0
47.58,53.45,43.8,49.08,15.5547,857878600.0,0.0
54.12,54.93,41.41,47.98,15.2061,1216094000.0,0.0
50.99,56.44,49.17,54.7,17.3359,917036500.0,0.0
52.16,56.44,48.35,50.91,16.1347,710133100.0,0.0
59.83,60.4,51.44,52.26,16.5626,708739700.0,0.0
59.05,65.0,58.31,60.31,19.1138,536622100.0,0.0
64.15,64.5,57.15,58.34,18.4895,565579600.0,0.0
66.65,70.62,61.33,63.71,20.1914,680057900.0,0.0
63.83,69.89,63.8,66.25,20.9964,488544500.0,0.0
60.08,68.34,59.6,64.21,20.3498,665484300.0,0.0
50.94,63.63,50.41,58.15,18.4293,875445500.0,0.0
57.19,59.08,47.5,51.17,16.2171,755412200.0,0.0
66.8,67.54,56.3,57.05,18.0807,576948200.0,0.0
72.05,73.15,64.2,66.19,20.9774,727600500.0,0.0
69.6,76.15,66.01,73.0,23.1356,724588900.0,0.0
67.66,72.15,67.25,69.18,21.925,888652900.0,0.0
54.81,71.1,51.06,67.75,21.4718,1037903500.0,0.0
58.56,61.13,49.75,54.69,17.3327,947674900.0,0.0
60.81,65.06,53.88,59.0,18.6987,768447800.0,0.0
44.13,64.75,42.88,61.06,19.3515,1002765600.0,0.0
58.06,60.63,40.31,43.38,13.7483,1028334100.0,0.0
68.5,72.37,57.0,57.38,18.1852,991731300.0,0.0
60.5,70.12,48.44,68.87,21.8267,1234707800.0,0.0
70.0,72.06,58.63,60.31,19.1138,712766900.0,0.0
69.94,74.87,68.12,69.81,22.1246,609699900.0,0.0
79.69,82.87,67.25,69.81,22.1246,617092900.0,0.0
64.37,82.19,63.81,80.0,25.3541,733525100.0,0.0
72.87,74.0,60.38,62.56,19.8269,672215400.0,0.0
94.44,96.5,65.0,69.75,22.1056,1129073300.0,0.0
89.62,115.0,88.94,106.25,33.6734,1014093800.0,0.0
98.5,110.0,88.12,89.37,28.3237,667243800.0,0.0
117.37,118.62,94.87,97.87,31.0176,637437600.0,0.0
91.06,119.94,90.87,116.75,37.0012,630488900.0,0.0
